Ingredient,Function,Comedogenic Rating,Irritancy,Good For,Bad For,Description
Avena Sativa Flower Extract,Humectant,0,0,Acne,None,Natural plant-derived humectant from Avena Sativa.
Vitis Vinifera Fruit Extract,Emollient,0,0,Sensitive,None,Natural plant-derived emollient from Vitis Vinifera.
Cetearyl Chloride,Exfoliant,0,1,Aging,Dry,A standard cosmetic exfoliant used in skincare formulations.
Centella Asiatica Essential Oil,Soothing,3,2,Sensitive;Aging;Dry,Sensitive,Natural plant-derived soothing from Centella Asiatica.
Glycine Soja Bark Extract,Emollient,0,0,Oily,None,Natural plant-derived emollient from Glycine Soja.
Magnesium Niacinamide,Exfoliant,0,0,Dry,None,A standard cosmetic exfoliant used in skincare formulations.
Isobutyl Sorbate,Thickener,4,1,Aging,Dry,A standard cosmetic thickener used in skincare formulations.
Magnesium Acetate,Exfoliant,0,3,All,None,A standard cosmetic exfoliant used in skincare formulations.
Isopropyl Chloride,Thickener,1,1,Dry,None,A standard cosmetic thickener used in skincare formulations.
Lauryl Ceramide NP,Soothing,0,0,Aging,Sensitive,A standard cosmetic soothing used in skincare formulations.
Citrus Limon Flower Extract,Antioxidant,0,0,Sensitive,None,Natural plant-derived antioxidant from Citrus Limon.
Rubus Idaeus Juice,Humectant,0,0,Aging,None,Natural plant-derived humectant from Rubus Idaeus.
Aluminum Peptide,Humectant,1,0,Dry,Dry,A standard cosmetic humectant used in skincare formulations.
Acetylated Elastin,Emollient,5,1,Sensitive,Sensitive,A standard cosmetic emollient used in skincare formulations.
Glycyrrhiza Glabra Fruit Extract,Antioxidant,0,0,Acne,None,Natural plant-derived antioxidant from Glycyrrhiza Glabra.
Stearyl Peptide,Exfoliant,2,0,Acne,None,A standard cosmetic exfoliant used in skincare formulations.
Aluminum Oleate,Buffering,1,1,Aging,Dry,A standard cosmetic buffering used in skincare formulations.
PPG-15 Ceramide AP,Antioxidant,1,0,Aging,Dry,A standard cosmetic antioxidant used in skincare formulations.
Rosmarinus Officinalis Bark Extract,Emollient,0,0,Oily,None,Natural plant-derived emollient from Rosmarinus Officinalis.
Calcium Tocopherol,Humectant,2,1,Sensitive,Acne,A standard cosmetic humectant used in skincare formulations.
Vitis Vinifera Lysate,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Vitis Vinifera.
PEG-100 Oat Protein,Emulsifier,2,1,Oily,Acne,A standard cosmetic emulsifier used in skincare formulations.
Polysorbate 80 Ceramide AP,Emollient,0,0,All,Oily,A standard cosmetic emollient used in skincare formulations.
Ethyl Stearate,Buffering,2,1,Sensitive,Dry,A standard cosmetic buffering used in skincare formulations.
Butyrospermum Parkii Leaf Extract,Emollient,0,0,Aging,None,Natural plant-derived emollient from Butyrospermum Parkii.
Calendula Officinalis Flower Extract,Antioxidant,0,0,Dry,None,Natural plant-derived antioxidant from Calendula Officinalis.
Butyl Phosphate,Soothing,1,1,Oily,Dry,A standard cosmetic soothing used in skincare formulations.
Calcium Phosphate,Chelating,1,1,Aging,Oily,A standard cosmetic chelating used in skincare formulations.
Cocoyl Hydroxide,Emollient,5,1,Aging,Dry,A standard cosmetic emollient used in skincare formulations.
Butyl Gluconate,Surfactant,0,1,Oily,Dry,A standard cosmetic surfactant used in skincare formulations.
Palmitoyl Carbonate,Viscosity Controller,0,1,Sensitive,Sensitive,A standard cosmetic viscosity controller used in skincare formulations.
Magnesium Tocopherol,Antioxidant,0,0,All,Acne,A standard cosmetic antioxidant used in skincare formulations.
Panax Ginseng Essential Oil,Antioxidant,1,3,Acne,Sensitive,Natural plant-derived antioxidant from Panax Ginseng.
Helianthus Annuus Callus Culture Extract,Antioxidant,0,0,Acne,None,Natural plant-derived antioxidant from Helianthus Annuus.
Cetyl Linoleate,Thickener,5,0,Acne,Acne,A standard cosmetic thickener used in skincare formulations.
Simmondsia Chinensis Ferment Filtrate,Humectant,0,0,Aging,None,Natural plant-derived humectant from Simmondsia Chinensis.
Isopropyl Salicylate,Viscosity Controller,2,0,Sensitive,Sensitive,A standard cosmetic viscosity controller used in skincare formulations.
Isopropyl Sulfate,Emulsifier,1,1,Sensitive,Acne,A standard cosmetic emulsifier used in skincare formulations.
Butyl Soy Protein,Viscosity Controller,0,1,Sensitive,Sensitive,A standard cosmetic viscosity controller used in skincare formulations.
Isobutyl Keratin,Soothing,1,0,Acne,Acne,A standard cosmetic soothing used in skincare formulations.
Butyrospermum Parkii Oil,Antioxidant,2,0,Aging,None,Natural plant-derived antioxidant from Butyrospermum Parkii.
Lauroyl Carbonate,Soothing,1,0,Dry,None,A standard cosmetic soothing used in skincare formulations.
Olea Europaea Butter,Humectant,1,0,Sensitive,None,Natural plant-derived humectant from Olea Europaea.
Acetylated Benzoate,Astringent,0,0,Aging,Sensitive,A standard cosmetic astringent used in skincare formulations.
Magnesium Ceramide EOP,Viscosity Controller,2,1,Aging,Dry,A standard cosmetic viscosity controller used in skincare formulations.
Ethyl Ascorbate,Surfactant,2,0,Dry,Dry,A standard cosmetic surfactant used in skincare formulations.
Glyceryl Niacinamide,Viscosity Controller,0,0,Oily,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Isopropyl Elastin,Humectant,2,0,Dry,Sensitive,A standard cosmetic humectant used in skincare formulations.
PEG-40 Tocopherol,Exfoliant,2,0,Dry,Acne,A standard cosmetic exfoliant used in skincare formulations.
Butyrospermum Parkii Essential Oil,Humectant,3,3,Oily,Sensitive,Natural plant-derived humectant from Butyrospermum Parkii.
Melaleuca Alternifolia Leaf Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Melaleuca Alternifolia.
Cetearyl Phosphate,Preservative,1,5,Acne,None,A standard cosmetic preservative used in skincare formulations.
Capric Soy Protein,Surfactant,1,4,Oily,Dry,A standard cosmetic surfactant used in skincare formulations.
Propyl Citrate,Chelating,2,1,Acne,Oily,A standard cosmetic chelating used in skincare formulations.
Sodium Gluconate,Buffering,0,1,Sensitive,Sensitive,A standard cosmetic buffering used in skincare formulations.
Iron Wheat Protein,Chelating,2,0,Acne,Acne,A standard cosmetic chelating used in skincare formulations.
PEG-20 Wheat Protein,Chelating,0,0,Dry,Sensitive,A standard cosmetic chelating used in skincare formulations.
Chamomilla Recutita Water,Emollient,0,0,Dry,None,Natural plant-derived emollient from Chamomilla Recutita.
Isopropyl Crosspolymer,Buffering,2,0,Aging,Acne,A standard cosmetic buffering used in skincare formulations.
PEG-20 Sulfate,Viscosity Controller,1,1,Oily,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Myristoyl Crosspolymer,Exfoliant,1,4,Oily,Dry,A standard cosmetic exfoliant used in skincare formulations.
Acetylated Stearate,Buffering,2,1,Aging,None,A standard cosmetic buffering used in skincare formulations.
Morus Alba Root Extract,Humectant,0,0,Oily,None,Natural plant-derived humectant from Morus Alba.
Palmitoyl Sorbate,Solvent,0,0,Acne,Acne,A standard cosmetic solvent used in skincare formulations.
PPG-15 Oleate,Solvent,2,1,All,Oily,A standard cosmetic solvent used in skincare formulations.
Rosmarinus Officinalis Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Rosmarinus Officinalis.
Rosmarinus Officinalis Seed Extract,Humectant,0,0,All,None,Natural plant-derived humectant from Rosmarinus Officinalis.
Titanium Benzoate,Buffering,1,1,Oily,None,A standard cosmetic buffering used in skincare formulations.
Argania Spinosa Essential Oil,Humectant,4,2,Acne,Sensitive,Natural plant-derived humectant from Argania Spinosa.
Stearyl Palmitate,Humectant,2,1,Oily,Sensitive,A standard cosmetic humectant used in skincare formulations.
Iron Salicylate,Exfoliant,0,5,Sensitive,Dry,A standard cosmetic exfoliant used in skincare formulations.
Cocamidopropyl Tocopherol,Emollient,5,1,Dry,Dry,A standard cosmetic emollient used in skincare formulations.
Lauryl Soy Protein,Surfactant,0,3,Dry,Sensitive,A standard cosmetic surfactant used in skincare formulations.
Lavandula Angustifolia Lysate,Emollient,0,0,All,None,Natural plant-derived emollient from Lavandula Angustifolia.
Polysorbate 80 Chloride,Preservative,0,5,Aging,Sensitive,A standard cosmetic preservative used in skincare formulations.
Polysorbate 80 Hyaluronate,Exfoliant,1,3,All,Dry,A standard cosmetic exfoliant used in skincare formulations.
Lauryl Collagen,Surfactant,1,1,Acne,Acne,A standard cosmetic surfactant used in skincare formulations.
Palmitoyl Phosphate,Buffering,0,1,Aging,Oily,A standard cosmetic buffering used in skincare formulations.
Isobutyl Laurate,Surfactant,0,4,Aging,Dry,A standard cosmetic surfactant used in skincare formulations.
Capric Sulfate,Exfoliant,2,3,Aging,Dry,A standard cosmetic exfoliant used in skincare formulations.
Centella Asiatica Juice,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Centella Asiatica.
Hydrolyzed Linoleate,Astringent,2,1,Acne,Dry,A standard cosmetic astringent used in skincare formulations.
Glyceryl Ascorbate,Antioxidant,1,0,Aging,Dry,A standard cosmetic antioxidant used in skincare formulations.
Morus Alba Wax,Emollient,0,0,Sensitive,None,Natural plant-derived emollient from Morus Alba.
Isobutyl Retinol,Buffering,0,0,Sensitive,Oily,A standard cosmetic buffering used in skincare formulations.
Iron Hyaluronate,Antioxidant,0,0,Dry,Oily,A standard cosmetic antioxidant used in skincare formulations.
Calcium Sulfate,Preservative,0,5,Dry,Dry,A standard cosmetic preservative used in skincare formulations.
Cocamidopropyl Crosspolymer,Solvent,0,0,Dry,Sensitive,A standard cosmetic solvent used in skincare formulations.
Behenyl Gluconate,Viscosity Controller,0,0,Dry,Sensitive,A standard cosmetic viscosity controller used in skincare formulations.
Zinc Linoleate,Surfactant,2,5,Aging,Acne,A standard cosmetic surfactant used in skincare formulations.
Acetylated Sulfate,Thickener,2,0,Dry,None,A standard cosmetic thickener used in skincare formulations.
Acetylated Tocopherol,Astringent,0,0,Dry,None,A standard cosmetic astringent used in skincare formulations.
Calcium Hyaluronate,Preservative,1,3,All,Dry,A standard cosmetic preservative used in skincare formulations.
Sorbitan Acetate,Thickener,5,0,Aging,Dry,A standard cosmetic thickener used in skincare formulations.
Behenyl Chloride,Humectant,1,1,Acne,Acne,A standard cosmetic humectant used in skincare formulations.
Sodium Soy Protein,Viscosity Controller,2,0,Oily,None,A standard cosmetic viscosity controller used in skincare formulations.
Capric Sorbate,Preservative,2,2,Dry,None,A standard cosmetic preservative used in skincare formulations.
Isobutyl Hyaluronate,Soothing,2,1,Dry,None,A standard cosmetic soothing used in skincare formulations.
Myristoyl Salicylate,Solvent,2,0,Sensitive,Dry,A standard cosmetic solvent used in skincare formulations.
Polysorbate 80 Silk,Chelating,1,0,Oily,Sensitive,A standard cosmetic chelating used in skincare formulations.
Polyglyceryl-3 Keratin,Surfactant,2,2,Sensitive,Sensitive,A standard cosmetic surfactant used in skincare formulations.
Hydrogenated Phosphate,Surfactant,2,0,Oily,Oily,A standard cosmetic surfactant used in skincare formulations.
Citrus Aurantium Dulcis Fruit Extract,Emollient,0,0,Sensitive,None,Natural plant-derived emollient from Citrus Aurantium Dulcis.
Methyl Sorbate,Preservative,2,2,Oily,None,A standard cosmetic preservative used in skincare formulations.
Polyglyceryl-3 Ceramide AP,Chelating,2,1,All,Dry,A standard cosmetic chelating used in skincare formulations.
PPG-15 Laurate,Thickener,0,1,Dry,Sensitive,A standard cosmetic thickener used in skincare formulations.
Cetyl Acetate,Buffering,0,1,Sensitive,Dry,A standard cosmetic buffering used in skincare formulations.
Titanium Oleate,Solvent,2,1,Sensitive,Oily,A standard cosmetic solvent used in skincare formulations.
Titanium Peptide,Chelating,1,1,Dry,Oily,A standard cosmetic chelating used in skincare formulations.
Magnesium Collagen,Emulsifier,1,0,Sensitive,Sensitive,A standard cosmetic emulsifier used in skincare formulations.
Hydrolyzed Ceramide AP,Antioxidant,1,0,Sensitive,None,A standard cosmetic antioxidant used in skincare formulations.
Argania Spinosa Bark Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Argania Spinosa.
Morus Alba Bark Extract,Emollient,0,0,Acne,None,Natural plant-derived emollient from Morus Alba.
Ethyl Palmitate,Solvent,0,1,Aging,Sensitive,A standard cosmetic solvent used in skincare formulations.
Methyl Acetate,Emulsifier,2,0,Aging,Dry,A standard cosmetic emulsifier used in skincare formulations.
Palmitoyl Hyaluronate,Buffering,2,0,All,Sensitive,A standard cosmetic buffering used in skincare formulations.
Polysorbate 60 Wheat Protein,Soothing,1,0,All,Dry,A standard cosmetic soothing used in skincare formulations.
Glyceryl Copolymer,Buffering,1,0,All,Dry,A standard cosmetic buffering used in skincare formulations.
PEG-20 Myristate,Emulsifier,0,0,Aging,None,A standard cosmetic emulsifier used in skincare formulations.
Glycyrrhiza Glabra Seed Extract,Humectant,0,0,Dry,None,Natural plant-derived humectant from Glycyrrhiza Glabra.
Caprylic Sulfate,Emollient,0,0,Dry,None,A standard cosmetic emollient used in skincare formulations.
Copper Oat Protein,Chelating,0,1,Aging,Sensitive,A standard cosmetic chelating used in skincare formulations.
Chamomilla Recutita Seed Extract,Humectant,0,0,Dry,None,Natural plant-derived humectant from Chamomilla Recutita.
Macadamia Ternifolia Water,Emollient,0,0,Oily,None,Natural plant-derived emollient from Macadamia Ternifolia.
Caprylic Acetate,Surfactant,1,2,Acne,Acne,A standard cosmetic surfactant used in skincare formulations.
Butyrospermum Parkii Butter,Humectant,1,0,Dry,None,Natural plant-derived humectant from Butyrospermum Parkii.
Polysorbate 20 Panthenol,Emulsifier,1,1,Acne,Sensitive,A standard cosmetic emulsifier used in skincare formulations.
Mentha Piperita Bark Extract,Antioxidant,0,0,Dry,None,Natural plant-derived antioxidant from Mentha Piperita.
Butyl Myristate,Preservative,2,1,Dry,None,A standard cosmetic preservative used in skincare formulations.
Potassium Ceramide EOP,Humectant,0,1,Aging,Sensitive,A standard cosmetic humectant used in skincare formulations.
Copper Hyaluronate,Soothing,0,0,Acne,Dry,A standard cosmetic soothing used in skincare formulations.
Panax Ginseng Root Extract,Emollient,0,0,Oily,None,Natural plant-derived emollient from Panax Ginseng.
Cetearyl Crosspolymer,Preservative,0,5,Dry,Oily,A standard cosmetic preservative used in skincare formulations.
Methyl Dioxide,Soothing,0,1,Acne,Oily,A standard cosmetic soothing used in skincare formulations.
Acetylated Copolymer,Preservative,0,0,All,Dry,A standard cosmetic preservative used in skincare formulations.
Calcium Ceramide AP,Soothing,0,0,All,Acne,A standard cosmetic soothing used in skincare formulations.
PEG-100 Stearate,Astringent,0,1,All,Acne,A standard cosmetic astringent used in skincare formulations.
Chamomilla Recutita Essential Oil,Humectant,4,3,Aging,Sensitive,Natural plant-derived humectant from Chamomilla Recutita.
Punica Granatum Bark Extract,Emollient,0,0,All,None,Natural plant-derived emollient from Punica Granatum.
Butyrospermum Parkii Flower Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Butyrospermum Parkii.
PEG-8 Phosphate,Thickener,5,0,Sensitive,Acne,A standard cosmetic thickener used in skincare formulations.
Panax Ginseng Flower Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Panax Ginseng.
Citrus Aurantium Dulcis Root Extract,Humectant,0,0,Acne,None,Natural plant-derived humectant from Citrus Aurantium Dulcis.
Capric Benzoate,Chelating,0,1,Aging,Dry,A standard cosmetic chelating used in skincare formulations.
Cocamidopropyl Copolymer,Emollient,2,0,Aging,Oily,A standard cosmetic emollient used in skincare formulations.
Myristoyl Ceramide AP,Buffering,2,0,Acne,None,A standard cosmetic buffering used in skincare formulations.
PEG-20 Keratin,Antioxidant,1,0,Aging,Dry,A standard cosmetic antioxidant used in skincare formulations.
Cetyl Ceramide EOP,Emollient,3,0,Sensitive,Sensitive,A standard cosmetic emollient used in skincare formulations.
Myristyl Soy Protein,Antioxidant,1,1,Dry,Sensitive,A standard cosmetic antioxidant used in skincare formulations.
Ethyl Laurate,Emulsifier,1,1,Dry,Sensitive,A standard cosmetic emulsifier used in skincare formulations.
Zinc Chloride,Surfactant,2,1,Oily,None,A standard cosmetic surfactant used in skincare formulations.
Stearyl Wheat Protein,Chelating,0,0,Sensitive,Sensitive,A standard cosmetic chelating used in skincare formulations.
Polysorbate 80 Myristate,Emollient,1,1,Dry,None,A standard cosmetic emollient used in skincare formulations.
Olea Europaea Water,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Olea Europaea.
Centella Asiatica Root Extract,Antioxidant,0,0,Oily,None,Natural plant-derived antioxidant from Centella Asiatica.
Caprylic Sorbate,Chelating,2,0,All,Acne,A standard cosmetic chelating used in skincare formulations.
Isobutyl Crosspolymer,Solvent,1,1,All,Sensitive,A standard cosmetic solvent used in skincare formulations.
Lavandula Angustifolia Oil,Humectant,3,0,Aging,None,Natural plant-derived humectant from Lavandula Angustifolia.
Cocamidopropyl Ceramide AP,Soothing,1,0,All,Oily,A standard cosmetic soothing used in skincare formulations.
Myristoyl Ascorbate,Antioxidant,0,0,Dry,Sensitive,A standard cosmetic antioxidant used in skincare formulations.
Polyglyceryl-3 Soy Protein,Exfoliant,2,0,All,None,A standard cosmetic exfoliant used in skincare formulations.
Iron Sorbate,Chelating,1,0,Aging,Dry,A standard cosmetic chelating used in skincare formulations.
Calcium Oleate,Soothing,2,0,Oily,Dry,A standard cosmetic soothing used in skincare formulations.
Cetearyl Panthenol,Antioxidant,0,1,Sensitive,Oily,A standard cosmetic antioxidant used in skincare formulations.
Cetyl Stearate,Antioxidant,2,1,Dry,Sensitive,A standard cosmetic antioxidant used in skincare formulations.
Oryza Sativa Ferment Filtrate,Emollient,0,0,Sensitive,None,Natural plant-derived emollient from Oryza Sativa.
Myristoyl Benzoate,Astringent,0,0,Oily,Acne,A standard cosmetic astringent used in skincare formulations.
Ethyl Sulfate,Buffering,2,1,Sensitive,None,A standard cosmetic buffering used in skincare formulations.
Caprylic Phosphate,Solvent,0,0,Sensitive,Sensitive,A standard cosmetic solvent used in skincare formulations.
Lauryl Elastin,Solvent,0,0,Acne,Acne,A standard cosmetic solvent used in skincare formulations.
Behenyl Ceramide AP,Exfoliant,2,2,Aging,Oily,A standard cosmetic exfoliant used in skincare formulations.
Lavandula Angustifolia Butter,Antioxidant,1,0,Dry,None,Natural plant-derived antioxidant from Lavandula Angustifolia.
Calcium Oxide,Buffering,1,0,Sensitive,Oily,A standard cosmetic buffering used in skincare formulations.
Aloe Barbadensis Flower Extract,Emollient,0,0,All,None,Natural plant-derived emollient from Aloe Barbadensis.
Glycine Soja Root Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Glycine Soja.
Avena Sativa Leaf Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Avena Sativa.
PEG-40 Lactate,Thickener,0,0,Aging,Oily,A standard cosmetic thickener used in skincare formulations.
Lauryl Citrate,Viscosity Controller,0,1,All,None,A standard cosmetic viscosity controller used in skincare formulations.
Propyl Chloride,Humectant,0,1,All,Oily,A standard cosmetic humectant used in skincare formulations.
Stearyl Phosphate,Viscosity Controller,1,0,Aging,Sensitive,A standard cosmetic viscosity controller used in skincare formulations.
Titanium Hydroxide,Exfoliant,0,0,Sensitive,Acne,A standard cosmetic exfoliant used in skincare formulations.
